created_at,id,full_text,user_id,user_name,user_screen_name,user_location,user_description,user_followers_count,retweet_count,favorite_count,lang
Thu Oct 01 04:50:28 +0000 2020,1311528888871288832,@FallGuysGame @timthetatman Can’t wait 😊,1311526775294394368,Aliceox,Aliceox7,,Twitch streamer and creator - gaming content 🌈🌟💫,0,0,0,en
Thu Oct 01 04:46:56 +0000 2020,1311528000341540865,@FallGuysGame @timthetatman Come to Xbox already,915341788562575360,Zack Fulmer,ZackFulmer,,UNO GOD   MGK 19XX   JUICE WRLD,9,0,0,en
Thu Oct 01 04:42:56 +0000 2020,1311526992097865734,@FallGuysGame @timthetatman Not a huge fan of this. Cool for many but costumes will definitely feel less special now.,357789407,Tyler Hope タイラー ホープ,Ty_Hope,"Saitama, Japan 埼玉、東大宮",American in Japan (日本に住んでるアメリカ人) Actor/entertainer/artist/Gamer YouTube channel! https://t.co/3PFhM5luqt Twitch: Ty_Hope,1127,0,0,en
Thu Oct 01 04:39:08 +0000 2020,1311526037390532613,@FallGuysGame @timthetatman Your games dead,1097381543964803074,Austin Asbridge,AustinAsbridge,,Bio,13,0,0,en
Thu Oct 01 04:25:34 +0000 2020,1311522621146750976,@FallGuysGame @timthetatman Why are there comments saying the game is dead it's better than War zone but that doesent say anything really because War zone is trash... But anyways fall guys is still fun don't call a game dead after it just came out,1261711569148395525,FNGoodBoi (Former name DOGGG),FNGoodBoi,Salty Springs,guy with a nintendo switch that plays fortnite and tries to draw,8,0,0,en
Thu Oct 01 04:17:38 +0000 2020,1311520622795776001,@FallGuysGame @timthetatman Also nothing personal https://t.co/tSy2FWdBQA,1041816770682728449,just some dude,estebes_rafael,,Hello,13,0,0,en
Thu Oct 01 04:17:26 +0000 2020,1311520573714051073,@FallGuysGame @timthetatman Xbox when,1041816770682728449,just some dude,estebes_rafael,,Hello,13,0,0,en
Thu Oct 01 04:08:53 +0000 2020,1311518421281050625,@FallGuysGame @timthetatman Awesome 🥰,1272962790643380229,Expecto0Patronus,Expecto0P,,"fan de Harry Potter y vídeojuegos
#cuentaespañola
🇪🇦🇵🇱
Principiante en PC, buscando montar uno.",10,0,0,en
Thu Oct 01 04:08:03 +0000 2020,1311518215017771008,"@FallGuysGame @timthetatman I’ve never played this game before, also what did timthetatman do isn’t he some random streamer?",1205221350325006337,fuggin clown,SeanRau4,Dissapointment Island,Joe-Sama Bin laden,0,0,0,en
Thu Oct 01 03:21:42 +0000 2020,1311506549928529921,"@FallGuysGame @timthetatman You have competition for worst fall guys player.

@brett_maskiell  0 crowns still.",1187201277094182912,ARC_Flashh,AFlashh,,"https://t.co/indEtMEmOa
Electrical Engineer that plays video games waaaaaay too much. Twitch Affiliate!

I play a variety of games and love the grind.",10,0,0,en
Thu Oct 01 03:11:15 +0000 2020,1311503917994266626,@FallGuysGame @timthetatman Lvl 36 still no crown 😭,53640752,Samantha Ash,jaina66,western australia,"Loves xbox, hedgehogs, otters. clumsy. 
Streaming over on https://t.co/XwA9N4GnFf",189,0,0,en
