full_text,retweet_count,favorite_count,user_location,created_at
@FallGuysGame Can you do something against the f*cking cheaters,0,0,,Tue Sep 08 09:49:17 +0000 2020
@FallGuysGame Did homie really just call me a beanerbot,0,0,"Niger, Nigeria",Tue Sep 08 09:47:52 +0000 2020
@FallGuysGame Lmao lmao,0,0,,Tue Sep 08 09:45:01 +0000 2020
@FallGuysGame Va pero quita el hexagonia,0,0,Bosnia y Herzegovina,Tue Sep 08 09:44:47 +0000 2020
@FallGuysGame RELEASE THE YEETUS,0,0,"Cardiff, Wales",Tue Sep 08 09:44:11 +0000 2020
@FallGuysGame Day 22 of asking for a kiwi 🥝 skin,0,0,,Tue Sep 08 09:43:40 +0000 2020
@FallGuysGame Do you note the high frequency of hackers that continue to interact in your game?,0,1,,Tue Sep 08 09:40:38 +0000 2020
@FallGuysGame To Fall or not to Fall?,0,0,"Ukiah, CA",Tue Sep 08 09:33:39 +0000 2020
@FallGuysGame That’s what she said!,0,0,Scottish Highlands,Tue Sep 08 09:31:29 +0000 2020
@FallGuysGame Your game is pretty full of hackers rn. I can't play 2 or 3 rounds in a row without having a hacker in my Lobby. If they would get banned after the Match how is it possible that there still so many? That shit ain't fun anymore ~,0,0,,Tue Sep 08 09:31:21 +0000 2020
@FallGuysGame Uhhh are PC servers down????,0,0,Baltimore. MD,Tue Sep 08 09:30:23 +0000 2020
@FallGuysGame Bean space best space,0,0,,Tue Sep 08 09:30:21 +0000 2020
@FallGuysGame https://t.co/imbnkd4Toj,0,0,United States,Tue Sep 08 09:29:14 +0000 2020
@FallGuysGame dont selfdestruct pleeeeeeeeeeeeas,0,0,getting ready to move,Tue Sep 08 09:27:37 +0000 2020
@FallGuysGame Go on Xbox,0,0,"Alberta, Canada",Tue Sep 08 09:27:26 +0000 2020
@FallGuysGame Just spent a whole 5 rounds with a flying banana flying around the whole time. How's that new cheat update coming? Cause the old one has apparently stopped kicking cheaters @FallGuysGame,0,1,New Zealand,Tue Sep 08 09:24:25 +0000 2020
@FallGuysGame I want to download a full-size game for Android,0,0,,Tue Sep 08 09:22:53 +0000 2020
@FallGuysGame Do something about hackers in 10 rounds I have 9 hackers how is this possible,0,1,,Tue Sep 08 09:22:28 +0000 2020
@FallGuysGame super fun times https://t.co/BKHQfbpVDe,0,2,"上海, 中华人民共和国",Tue Sep 08 09:21:45 +0000 2020
@FallGuysGame сука блядь бот,0,0,India,Tue Sep 08 09:21:42 +0000 2020
@FallGuysGame Reminder that Oliver can’t do anything about hackers or the game coming to other platforms,0,0,,Tue Sep 08 09:20:18 +0000 2020
@FallGuysGame Y’all ever just ኃጢአተኛ ነፍስህ ከድነት በላይ ነው እናም ሰላምን እና ህመምንም አታውቅም ፣ ብቸኛው የባዶነት ቅዝቃዜ ብቻ ነው የንስሐ ጊዜ ተጠናቅቋል ፣ ምክንያቱም ጥፋቶችህ በክፉ ዓይነትህ ከማንኛውም ተልእኮ ይበልጣሉ መጨረሻ https://t.co/W74TrpmgIJ,0,1,"Marshall, MO",Tue Sep 08 09:19:23 +0000 2020
"@FallGuysGame Yass...So BeanBot, how's ur day going?

~Human",0,0,123 Piez Street,Tue Sep 08 09:18:10 +0000 2020
@FallGuysGame Didn’t ask g,0,0,"Melbourne, Victoria",Tue Sep 08 09:16:49 +0000 2020
@FallGuysGame I just want the hackers gone. Is that so much to ask?,0,1,,Tue Sep 08 09:14:53 +0000 2020
"@FallGuysGame Your steam player base went from constant 150k to 50k thanks to the hackers. At least one hacker every game, it's ridiculous and unplayable",0,2,"Santa Cruz de Tenerife, España",Tue Sep 08 09:13:59 +0000 2020
