created_at,id,full_text,user_id,user_name,user_screen_name,user_location,user_description,user_followers_count,retweet_count,favorite_count,lang
Wed Sep 30 08:22:00 +0000 2020,1311219734537437185,@FallGuysGame Someone buy him the game,1177445248965828609,Schappi,SchappiXd,Österreich,,9,0,0,en
Wed Sep 30 08:14:18 +0000 2020,1311217795829465088,@FallGuysGame Ur game is dead .......,1084124231196119045,Fatboy1650,fatboy1650,,,6,0,0,en
Wed Sep 30 08:06:25 +0000 2020,1311215812162789376,@FallGuysGame Like if anybody still plays bruh,1277703977669451779,Denis,Denis0064_,Germany,"Roblox Developer, Founder of Hotbread Studios studios",14,0,0,en
Wed Sep 30 08:00:07 +0000 2020,1311214228083154944,@FallGuysGame this is wholesome 🥺,1310072260129038336,mclover17 😪,potautoe,,I feel better alone,3,0,0,en
Wed Sep 30 07:55:05 +0000 2020,1311212958995759106,@FallGuysGame y’all just have to respond now,1116459736524832774,🇺🇸Green 🇷🇺,therockisscary,,"Rus Female. I like playing rpgs alot and Im a huge fan of Yoko Taro. Profile pic's from 7th Stand User, a great game for Jojo fans :D Let's get along(or not)!💚",29,0,0,en
Wed Sep 30 07:37:47 +0000 2020,1311208604779704320,@FallGuysGame Is fall guys coming to mobile?,1185361657079296000,Ad GaMiNg ThE KiNg RbLx 👑,aayandhanda,,Roblox player and YT,3,0,0,en
Wed Sep 30 07:01:35 +0000 2020,1311199497100365825,@FallGuysGame GIVE HIM A LETTER RN OR DOOM https://t.co/XnViCGFDfE,942673402606882817,RonMalgeron @ Jojolion,RonMalgeron,The VOID,"bearded josuke(8) hot
part 6-8 spoilers

mhmm yes
he/him
15/ no pedos plz
will dropkick a small child",35,0,0,en
Wed Sep 30 06:59:31 +0000 2020,1311198977547628544,@FallGuysGame beautiful drawing,2757838996,julianna,juliannamaggard,"Orlando, FL",shirley temple enthusiast🍹 she/her,254,0,0,en
Wed Sep 30 06:32:06 +0000 2020,1311192076193685504,@FallGuysGame WRITE BACK 😾,1003152666761940992,Penguin Husky,GianJosheph,cave,im a guy who likes art n music n shit n games and am learning programming yeahhh im the most boring person ever ik :( am 14 rn :) dogs too i love animals,19,0,0,en
Wed Sep 30 06:05:09 +0000 2020,1311185292552884224,@FallGuysGame Don't send them to Poland my dude https://t.co/yuQgZz120h,1267583348521594880,grim,grim98307910,,no,5,0,0,en
Wed Sep 30 06:02:39 +0000 2020,1311184664636223490,@FallGuysGame pls dont give fall guys a story,907246153674063872,balyena lol,stfu_zzo,,"scum of the earth, trash that needs to be thrown away",29,0,0,en
Wed Sep 30 06:01:58 +0000 2020,1311184491923288064,@FallGuysGame Please do a Super Mario collab. Do it for Blake.,3010648126,Ian of Self Esteem Dream Team,IanMcKinzey,"Kentucky, USA","Kentucky author. Lover of movies, video games, and novels, maybe not in that order. Editor-in-Chief of Jelly Bucket #10, 2019-2020.",168,0,0,en
Wed Sep 30 05:56:10 +0000 2020,1311183033978904576,@FallGuysGame Can you like my Fall Guys meme? I'm very lonely,1068076166701936645,Paul,PaulLagran25,Quezon City,i'm paulo and i love youtube and memes and anime and i also love toy collecting and collectors 😎 and I'm from the Philippines 🇵🇭,33,0,0,en
Wed Sep 30 05:19:28 +0000 2020,1311173795877535745,@FallGuysGame 😭😭😭😭😭,234019520,Gudzilla,UnTalNazir,"Xalapa, Ver. ","Soy la parodia de mi propia vida, sincero, directo, sarcástico y consentido, pero solo un poco no crean que mucho!",684,0,0,und
Wed Sep 30 05:18:01 +0000 2020,1311173433657622528,@FallGuysGame PLEASE SOMEONE BUY THAT KID A PS4 WITH A 12 MONTH PSN AND BUY THE GAME OR A PC AND BUY THE GAME,2956996355,梦蝶,sachawon4,,"#BigJigglyPanda: THAT'S 2 DOWN MOTHAF*CKAAA!!!!






































(~￣³￣)~ she/her",190,0,0,en
Wed Sep 30 04:46:16 +0000 2020,1311165442010918912,@FallGuysGame YOU BETTEF WRITE BACK,988046076,Brandon Zeron,ThatNerd16,"Fontana,CA",Just a big fuckin nerd dude. I really am out here just sharing random shit and saying random shit. Will probably whoop your ass in Mario kart dead ass,70,0,0,en
Wed Sep 30 04:38:17 +0000 2020,1311163435665813505,@FallGuysGame I swear fall guys if u dont respond I'll eat all ur cookies,1237209372679442432,hecc u,ABoi66829545,Canada,"professional idiot.
my yt I guess https://t.co/d32PTmom9g",4,0,1,en
Wed Sep 30 04:37:56 +0000 2020,1311163344259354625,"@FallGuysGame So what’s your response in the mario collab, don’t let ur fan mail letter guy down! Hope we get the game on Nintendo, especially with that king dedeeutus yeet-us post a few days ago that was awesome concept art if only we had it on #Nintendo #NintendoSwitch",969990264407326720,jonathan,joyconjon,,Enthusiastic about playing video games: Xbox One | Nintendo Switch #TheseMozzies #MWProbs #FortniteProbs,15,0,0,en
Wed Sep 30 04:12:03 +0000 2020,1311156831713099778,@FallGuysGame That is so sweet!!! You'd better answer him,359522613,La Doza 👑,lildoza04,"Chattanooga, TN","Awesomeness expert. Excessive reader, singer and gamer, Fall Guys Professional Player, Twitch Affiliate :')",115,0,0,en
Wed Sep 30 04:02:17 +0000 2020,1311154375889354752,@FallGuysGame BUT DID YOU FUCKING WRITE BACK IS THE QUESTION! WE NEED ANSWERS JELLYBEAN @FallGuysGame,1137021813538533376,🖤 LadyGandalf🖤,Demon_Princxss,Underworld,,27,0,0,en
Wed Sep 30 04:00:21 +0000 2020,1311153886208507908,@FallGuysGame I can't come on this journey coz even though I paid $30odd for your game I now can't play it coz I don't have PlayStation plus... I feel like I should get my money back tbh.,2917933236,Toni,88_tonez,New Zealand,,10,0,0,en
